Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
2024.0,Moeen Ali,67.0,6.0,1162.0,93.0,19.05,821.0,141.53,0.0,6.0,95.0,67.0,22.0,0.0,67.0,758.0,893.0,35.0,4/26,25.51,7.07,21.66,1.0,0.0
2021.0,Mohammad Shami,77.0,12.0,69.0,21.0,1.06,73.0,94.52,0.0,0.0,5.0,2.0,11.0,0.0,77.0,1670.0,2402.0,79.0,3/15,30.41,8.63,21.14,0.0,0.0
2024.0,Mohammed Siraj,93.0,15.0,109.0,14.0,1.4,119.0,91.6,0.0,0.0,10.0,4.0,29.0,0.0,93.0,1958.0,2823.0,93.0,4/21,30.35,8.65,21.05,2.0,0.0
2024.0,Mohd. Arshad Khan,10.0,3.0,101.0,0.0,14.43,69.0,146.38,0.0,1.0,6.0,6.0,3.0,0.0,10.0,146.0,304.0,6.0,3/39,50.67,12.49,24.33,0.0,0.0
2024.0,Mohit Sharma,96.0,13.0,126.0,15.0,1.52,128.0,98.44,0.0,0.0,8.0,4.0,26.0,0.0,112.0,2253.0,3256.0,132.0,5/10,24.67,8.67,17.07,3.0,1.0
2024.0,Mohsin Khan,24.0,2.0,25.0,2.0,1.14,24.0,104.17,0.0,0.0,2.0,1.0,2.0,0.0,23.0,486.0,689.0,27.0,4/16,25.52,8.51,18.0,1.0,0.0
2021.0,Mujeeb Ur Rahman,19.0,4.0,12.0,1.0,0.8,15.0,80.0,0.0,0.0,2.0,0.0,2.0,0.0,19.0,434.0,592.0,19.0,3/27,31.16,8.18,22.84,0.0,0.0
2024.0,Mukesh Choudhary,14.0,1.0,6.0,4.0,0.46,6.0,100.0,0.0,0.0,1.0,0.0,3.0,0.0,14.0,279.0,451.0,16.0,4/46,28.19,9.7,17.44,1.0,0.0
2024.0,Mukesh Kumar,20.0,4.0,10.0,3.0,0.62,18.0,55.56,0.0,0.0,0.0,0.0,6.0,0.0,20.0,399.0,694.0,24.0,3/14,28.92,10.44,16.62,0.0,0.0
2024.0,N. Tilak Varma,38.0,9.0,1156.0,65.0,39.86,790.0,146.33,0.0,6.0,90.0,58.0,23.0,0.0,38.0,22.0,28.0,0.0,0/8,0.0,7.64,0.0,0.0,0.0
